id,Name,Address,Location,Postal_code,Starred
217,"Anibal Aviles Playground Mobile Food Truck","West 107 to West 108 street and Amsterdam to Columbus Avenues","New York",NULL,FALSE
218,"Highbridge Park Mobile Food Truck","Amsterdam Avenue and West 173 Street","New York",NULL,FALSE
219,"Highbridge Park Mobile Food Truck","Amsterdam Avenue & West 177 Street","New York",NULL,FALSE
220,"Highbridge Park Mobile Food Truck","Amsterdam Avenue and West 180 Street","New York",NULL,FALSE
221,"Inwood Hill Park Mobile Food Truck","Seaman Avenue & West 204 Street to West 214st Street & Indian Road","New York",NULL,FALSE
222,"Kissena Corridor Park Mobile Food Truck","Utopia Parkway near Lie & Underhill roads","New York",NULL,FALSE
223,"Thomas J. Travers Playground Mobile Food Truck","34th Avenue between 77 & 78 streets","New York",NULL,FALSE
224,"Vleigh Place Playground Mobile Food Truck","Vleigh Place & 141 Street","New York",NULL,FALSE
225,"Frederick Cabbell Park Mobile Food Truck","236th Stret & 121st Avenue","New York",NULL,FALSE
226,"PS 127 Elmhurst Playground Mobile Food Truck","27th Avenue","New York",NULL,FALSE
227,"Astoria Park Mobile Food Truck","Shore Blvd., Hoyt Ave. and Ditmars Blvd","New York",NULL,FALSE
228,"Flushing Meadows Corona Park Mobile Food Truck","Near Unisphere, along the pathway","New York",NULL,FALSE
229,"Flushing Meadows Corona Park Mobile Food Truck","Near the Hall of Science","New York",NULL,FALSE
230,"Flushing Meadows Corona Park Mobile Food Truck","Near South Bridge By Queens Zoo","New York",NULL,FALSE
231,"Bloomingdale Park Mobile Food Truck","Richmond Parkway, Bloomingdale Road, and Lenevar Avenue","New York",NULL,FALSE
232,"Sound View Park Mobile Food Truck","Southwest corner of Metcalf and Lafayette avenues","New York",NULL,FALSE
233,"Sound View Park Mobile Food Truck","Lafayette Ave., btwn. Boynton Ave. and Colgate Ave.","New York",NULL,FALSE
234,"Devoe Park Mobile Food Truck","West Fordham Road & University Avenue","New York",NULL,FALSE
235,"Vinmont Veteran Park Mobile Food Truck","254th Street to 256th Street & Mosholu Avenue to Riverdale","New York",NULL,FALSE
236,"P.S. 106 Playground Mobile Food Truck","St. Raymond Avenue between O'dell & Purdy streets","New York",NULL,FALSE
237,"Haffen Park Mobile Food Truck","Burk, Ely & Gunter Avenues","New York",NULL,FALSE
256," Sushi Inoue","381 Lenox Ave"," New York",10027,TRUE
257," Dovetail","103 W 77th St"," New York",10024,TRUE
258," Cafe Boulud","20 E 76th St"," New York",10021,TRUE
259," Jean-Georges","1 Central Park West"," New York",10023,TRUE
260," Masa","10 Columbus Cir"," New York",10019,TRUE
261," Per Se","4th Floor  Time Warner Center  10 Columbus Cir"," New York",10023,TRUE
262," Marea","240 Central Park S"," New York",10019,TRUE
263," Daniel","60 E 65th St"," New York",10065,TRUE
264," Torishin","362 W 53rd St"," New York",10019,TRUE
265," Le Bernardin","155 W 51st St"," New York",10019,TRUE
266," The Modern","9 W 53rd St"," New York",10019,TRUE
267," Aquavit","65 E 55th St"," New York",10022,TRUE
268," Caviar Russe","538 Madison Ave"," New York",10022,TRUE
269," Satsuki (Suzukiâ€™s sushi bar)","114 W 47th St (discreetly located)"," New York",10036,TRUE
